customer_id,age,tenure_months,monthly_charges,total_charges,num_support_tickets,contract_type,internet_service,payment_method,gender,partner,churn
C10037,63.0,60,56.11,3798.37,3,One year,DSL,Electronic check,Male,Yes,No
C10038,68.0,20,71.42,1470.14,2,Month-to-month,Fiber optic,Bank transfer,Male,Yes,No
C10039,27.0,46,28.37,1371.16,5,Month-to-month,Fiber optic,Bank transfer,Male,Yes,Yes
C10040,37.0,12,103.01,1070.2,3,Month-to-month,Fiber optic,Bank transfer,Female,No,No
C10041,51.0,55,23.3,1452.78,3,Month-to-month,No,Bank transfer,Female,Yes,No
C10042,67.0,51,112.33,5544.05,3,Month-to-month,No,Credit card,Female,No,Yes
C10043,25.0,25,28.11,792.12,2,Month-to-month,DSL,Mailed check,Male,No,Yes
C10044,55.0,4,104.04,426.02,1,One year,Fiber optic,Mailed check,Male,No,No
C10045,,70,110.07,6559.84,6,Month-to-month,DSL,Bank transfer,Male,No,Yes
C10046,31.0,32,117.92,3251.05,0,Two year,Fiber optic,Credit card,Female,Yes,No
C10047,49.0,65,99.81,6838.8,2,Month-to-month,DSL,Bank transfer,Female,Yes,Yes
C10048,43.0,49,97.51,4867.82,5,One year,DSL,Electronic check,Male,No,No
C10049,57.0,56,83.53,4013.26,1,Month-to-month,Fiber optic,Mailed check,Male,Yes,Yes
C10050,37.0,55,97.46,5751.81,5,Month-to-month,Fiber optic,Bank transfer,Male,Yes,Yes
C10051,69.0,14,31.72,490.99,5,One year,No,Electronic check,Female,Yes,No
C10052,22.0,26,72.68,1887.65,5,Two year,DSL,Credit card,Female,Yes,No
C10053,71.0,34,70.45,2370.69,2,Month-to-month,DSL,Credit card,Female,Yes,No
C10054,19.0,36,105.47,3233.62,0,Month-to-month,Fiber optic,Credit card,Male,No,No
C10055,63.0,3,65.21,212.45,7,One year,DSL,Electronic check,Female,No,Yes
C10056,39.0,39,57.28,2120.47,2,One year,DSL,Bank transfer,Male,No,No
C10057,41.0,11,83.24,1019.68,6,Month-to-month,No,Bank transfer,Female,No,Yes
C10058,19.0,54,45.18,2346.81,1,Month-to-month,DSL,Bank transfer,Female,Yes,Yes
C10059,61.0,49,32.26,1611.6,1,Month-to-month,DSL,Credit card,Female,No,Yes
C10060,28.0,67,66.74,4163.5,6,Two year,Fiber optic,Mailed check,Male,No,No
C10061,,54,60.52,2935.31,7,Month-to-month,Fiber optic,Bank transfer,Male,Yes,Yes
C10062,62.0,26,,1174.18,6,,Fiber optic,Bank transfer,Male,No,Yes
C10063,70.0,70,55.49,3880.33,6,,Fiber optic,Credit card,Male,Yes,No
C10064,61.0,29,55.37,1623.31,1,Month-to-month,No,Credit card,Female,Yes,Yes
C10065,36.0,23,51.4,1347.26,7,Month-to-month,DSL,Mailed check,Female,Yes,Yes
C10066,63.0,66,56.71,4263.39,5,Month-to-month,Fiber optic,Credit card,Male,Yes,Yes
C10067,69.0,27,87.95,2628.01,1,Month-to-month,Fiber optic,Electronic check,Female,Yes,Yes
C10068,37.0,5,48.28,218.78,1,Month-to-month,No,Mailed check,Female,No,No
C10069,25.0,34,114.78,4012.89,6,Month-to-month,Fiber optic,Bank transfer,Male,No,Yes
C10070,73.0,58,111.47,7198.71,2,One year,Fiber optic,Electronic check,Male,Yes,No
C10071,27.0,13,67.05,838.82,6,One year,DSL,Mailed check,Female,No,Yes
C10072,54.0,33,51.49,1495.83,1,Month-to-month,DSL,Bank transfer,Male,Yes,No
C10073,32.0,9,72.61,714.45,2,One year,DSL,Bank transfer,Male,No,No
C10074,25.0,50,104.55,5198.9,2,Month-to-month,Fiber optic,Electronic check,Male,Yes,No
C10075,66.0,34,84.56,2930.58,2,Two year,DSL,Mailed check,Male,Yes,No
C10076,26.0,24,100.05,2748.52,5,Month-to-month,Fiber optic,Electronic check,Female,No,No
C10077,59.0,16,72.34,1194.67,7,One year,DSL,Bank transfer,Female,No,No
C10078,60.0,41,82.56,3308.78,7,Month-to-month,No,Mailed check,Male,No,Yes
C10079,21.0,48,47.39,2186.0,5,One year,No,Bank transfer,Female,No,No
C10080,28.0,68,92.96,6165.05,1,Month-to-month,DSL,Bank transfer,Female,No,Yes
C10081,67.0,31,38.65,1060.99,7,One year,DSL,Credit card,Male,Yes,Yes
C10082,49.0,11,88.87,1064.01,4,Month-to-month,DSL,Electronic check,Female,Yes,Yes
C10083,25.0,60,105.79,6990.49,4,Two year,No,Credit card,Male,Yes,No
C10084,79.0,45,,1324.55,5,Month-to-month,DSL,Electronic check,Female,Yes,Yes
C10085,34.0,51,80.67,3872.01,6,One year,Fiber optic,Electronic check,Female,Yes,No
C10086,18.0,7,27.7,215.68,7,Two year,Fiber optic,Electronic check,Male,No,No
C10087,75.0,22,92.02,1735.33,4,Two year,Fiber optic,Electronic check,Male,Yes,No
C10088,19.0,56,26.62,1499.87,4,Month-to-month,Fiber optic,Credit card,Female,No,No
C10089,52.0,60,113.47,6734.01,5,Month-to-month,,Electronic check,Female,No,Yes
C10090,79.0,31,32.02,1049.24,2,Month-to-month,No,Bank transfer,Female,No,No
C10091,53.0,58,115.81,6038.68,2,Month-to-month,DSL,Mailed check,Female,No,Yes
C10092,54.0,61,,6388.18,5,One year,No,Electronic check,Male,Yes,No
C10093,42.0,28,78.56,2118.34,0,Two year,DSL,Mailed check,Female,Yes,Yes
C10094,25.0,65,97.83,6585.42,2,Two year,Fiber optic,Electronic check,Female,No,No
C10095,53.0,21,99.1,1793.97,5,Month-to-month,No,Mailed check,Female,No,Yes
C10096,73.0,17,114.49,1923.98,7,One year,Fiber optic,Bank transfer,Female,Yes,No
C10097,23.0,49,43.85,2162.99,4,Two year,Fiber optic,Bank transfer,Male,Yes,No
C10098,72.0,46,78.19,3288.49,3,Two year,DSL,Mailed check,Female,No,No
C10099,43.0,10,,247.05,3,Month-to-month,Fiber optic,Credit card,Male,No,Yes
C10100,51.0,60,80.85,,5,Month-to-month,Fiber optic,Bank transfer,Female,Yes,No
C10101,28.0,14,,473.36,4,Two year,Fiber optic,Mailed check,Female,Yes,No
C10102,56.0,58,75.62,3855.45,0,Month-to-month,Fiber optic,Mailed check,Male,No,No
C10103,,0,76.39,86.64,4,Month-to-month,DSL,Electronic check,Female,Yes,Yes
C10104,34.0,58,65.53,3692.41,3,Two year,DSL,Credit card,Female,No,No
C10105,62.0,57,71.31,4441.43,5,Two year,DSL,Credit card,Female,Yes,No
C10106,21.0,56,95.92,6136.02,7,Two year,Fiber optic,Mailed check,Female,No,No
C10107,45.0,48,99.52,4176.12,7,One year,DSL,Bank transfer,Male,Yes,Yes
C10108,54.0,34,68.2,2424.31,4,Month-to-month,No,Bank transfer,Male,Yes,Yes
C10109,26.0,51,79.16,4486.99,2,Month-to-month,Fiber optic,Bank transfer,Female,No,No
C10110,36.0,20,112.99,2350.8,3,Month-to-month,DSL,Electronic check,Male,Yes,Yes
C10111,39.0,56,30.21,1655.74,1,One year,Fiber optic,Credit card,Male,No,No
C10112,59.0,40,910.0,35647.35,7,Month-to-month,No,Credit card,Male,Yes,Yes
C10113,78.0,33,26.95,765.53,6,One year,DSL,Credit card,Female,No,No
C10114,69.0,36,450.0,16368.16,6,Month-to-month,DSL,Credit card,Male,No,Yes
C10115,29.0,41,60.7,2857.18,2,One year,DSL,Credit card,Female,No,No
C10116,19.0,2,96.98,220.65,2,Month-to-month,DSL,Bank transfer,Male,Yes,No
C10117,21.0,10,86.47,745.47,6,Month-to-month,Fiber optic,Electronic check,Male,No,Yes
C10118,54.0,17,52.03,939.12,4,Month-to-month,No,Mailed check,Female,No,No
C10119,27.0,8,450.0,3385.91,5,Month-to-month,,Electronic check,Female,No,Yes
C10120,32.0,32,95.78,3435.5,3,Two year,Fiber optic,Electronic check,Male,Yes,No
C10121,70.0,48,45.59,1889.69,3,Month-to-month,DSL,Credit card,Female,Yes,Yes
C10122,72.0,47,,2930.99,5,Month-to-month,Fiber optic,Credit card,Male,Yes,Yes
C10123,70.0,34,50.07,1874.73,6,One year,Fiber optic,Bank transfer,Male,No,No
C10124,33.0,62,34.08,1870.5,2,One year,Fiber optic,Bank transfer,Female,No,No
C10125,56.0,41,33.07,1176.82,6,Month-to-month,DSL,Electronic check,Female,Yes,Yes
C10126,55.0,5,113.49,624.43,1,,Fiber optic,Electronic check,Female,No,No
C10127,29.0,55,450.0,22194.0,3,Month-to-month,No,Credit card,Female,No,No
C10128,52.0,41,57.1,2365.61,7,One year,DSL,Mailed check,Female,Yes,Yes
C10129,50.0,46,92.43,4782.08,7,Month-to-month,DSL,Bank transfer,Female,Yes,Yes
C10130,42.0,41,74.41,3112.54,7,Month-to-month,DSL,Mailed check,Male,No,Yes
C10131,64.0,40,113.49,4399.64,2,Month-to-month,Fiber optic,Electronic check,Female,No,Yes
C10132,60.0,6,97.59,575.88,6,One year,Fiber optic,Credit card,Male,Yes,Yes
C10133,51.0,40,66.9,2325.27,7,Month-to-month,Fiber optic,Credit card,Male,No,Yes
C10134,62.0,58,56.39,3730.55,7,Two year,Fiber optic,Bank transfer,Male,No,No
C10135,65.0,22,118.64,2461.82,0,Month-to-month,No,Mailed check,Male,No,No
C10136,53.0,44,91.21,3639.24,5,One year,No,Bank transfer,Female,No,Yes
C10137,34.0,2,115.02,215.27,7,Month-to-month,DSL,Credit card,Male,No,Yes
C10138,65.0,25,30.08,856.76,6,Month-to-month,Fiber optic,Bank transfer,Female,No,No
C10139,62.0,31,104.75,2852.01,1,Month-to-month,DSL,Mailed check,Female,Yes,No
C10140,78.0,71,82.98,6540.78,6,Two year,DSL,Mailed check,Female,No,No
C10141,27.0,15,30.44,485.07,0,Two year,No,Bank transfer,Male,Yes,No
C10142,43.0,20,78.0,1714.45,3,Month-to-month,Fiber optic,Mailed check,Male,No,Yes
C10143,,29,87.98,2915.68,5,Month-to-month,No,Bank transfer,Male,Yes,Yes
C10144,49.0,72,19.25,1528.27,3,Two year,Fiber optic,Electronic check,Male,No,No
C10145,76.0,62,,4519.69,5,Month-to-month,Fiber optic,Electronic check,Female,Yes,Yes
C10146,18.0,2,102.19,181.51,1,Month-to-month,Fiber optic,Credit card,Male,Yes,Yes
C10147,20.0,17,48.13,890.82,4,Month-to-month,DSL,Mailed check,Female,Yes,Yes
C10148,67.0,59,64.77,3873.79,5,One year,DSL,Mailed check,Male,No,No
C10149,40.0,4,63.12,255.77,5,One year,Fiber optic,Bank transfer,Female,No,Yes
C10150,50.0,62,48.8,3387.69,2,One year,DSL,Mailed check,Male,Yes,No
C10151,44.0,20,111.68,2549.75,2,Two year,No,Credit card,Female,No,No
C10152,43.0,66,97.69,6843.75,2,Month-to-month,DSL,Electronic check,Male,No,Yes
C10153,76.0,21,29.28,611.73,3,Month-to-month,DSL,Credit card,Female,Yes,No
C10154,23.0,31,119.7,3662.17,4,Month-to-month,Fiber optic,Electronic check,Female,No,Yes
C10155,65.0,48,107.68,4992.4,2,Month-to-month,DSL,Mailed check,Male,Yes,No
C10156,73.0,9,46.96,405.09,3,Month-to-month,No,Bank transfer,Female,Yes,Yes
C10157,58.0,40,,3999.83,2,Month-to-month,Fiber optic,Credit card,Female,No,Yes
C10158,42.0,36,450.0,14206.2,1,Month-to-month,DSL,Electronic check,Female,Yes,Yes
C10159,27.0,57,119.91,5968.42,5,One year,Fiber optic,Bank transfer,Female,No,No
C10160,60.0,72,85.9,6704.08,6,Month-to-month,Fiber optic,Electronic check,Female,No,Yes
C10161,47.0,48,84.31,3981.41,2,Month-to-month,Fiber optic,Electronic check,Male,No,No
C10162,27.0,29,27.22,891.37,6,One year,No,Credit card,Female,No,No
C10163,40.0,29,109.5,3282.41,4,One year,Fiber optic,Bank transfer,Female,No,No
C10164,77.0,30,20.96,541.12,1,One year,Fiber optic,Mailed check,Female,No,No
C10165,34.0,59,42.56,2253.05,2,Two year,DSL,Bank transfer,Male,Yes,No
C10166,29.0,23,450.0,9436.57,0,One year,Fiber optic,Mailed check,Male,Yes,No
C10167,60.0,12,97.23,1333.28,0,Month-to-month,No,Mailed check,Female,No,Yes
C10168,30.0,24,38.22,839.87,2,Month-to-month,Fiber optic,Mailed check,Female,Yes,Yes
C10169,75.0,1,110.89,111.41,3,One year,Fiber optic,Mailed check,Female,Yes,No
C10170,71.0,7,84.94,672.38,6,Month-to-month,Fiber optic,Credit card,Male,Yes,Yes
C10171,78.0,6,21.69,148.77,1,Month-to-month,Fiber optic,Mailed check,Male,No,Yes
C10172,74.0,56,18.55,956.64,6,Month-to-month,No,Mailed check,Male,Yes,Yes
C10173,33.0,52,,1046.36,1,Month-to-month,DSL,Bank transfer,Female,Yes,Yes
C10174,31.0,50,79.8,3575.36,1,Month-to-month,DSL,Credit card,Male,Yes,Yes
C10175,39.0,33,99.75,2860.53,5,Month-to-month,Fiber optic,Mailed check,Female,Yes,Yes
C10176,47.0,52,42.33,1999.84,6,Two year,Fiber optic,Credit card,Male,No,No
C10177,72.0,11,104.64,1174.72,4,Two year,Fiber optic,Mailed check,Male,Yes,No
C10178,63.0,65,23.84,1741.34,0,Month-to-month,DSL,Bank transfer,Female,No,Yes
C10179,57.0,36,99.7,3629.28,0,Two year,Fiber optic,Credit card,Male,No,No
C10180,72.0,68,112.64,7949.03,3,Month-to-month,Fiber optic,Mailed check,Male,Yes,No
C10181,58.0,11,96.76,969.16,3,Two year,Fiber optic,Electronic check,Female,No,Yes
C10182,41.0,36,89.21,3501.16,7,Two year,Fiber optic,Bank transfer,Female,No,No
C10183,43.0,50,103.47,5356.31,2,Month-to-month,Fiber optic,Electronic check,Female,No,No
C10184,50.0,36,22.1,882.51,1,One year,Fiber optic,Mailed check,Male,Yes,No
C10185,23.0,32,38.58,1400.8,7,Two year,Fiber optic,Credit card,Female,Yes,No
C10186,63.0,12,30.74,352.05,1,Two year,Fiber optic,Mailed check,Female,No,No
C10187,58.0,27,69.46,1645.07,0,Two year,Fiber optic,Bank transfer,Male,No,No
C10188,63.0,17,94.01,1466.77,3,One year,Fiber optic,Bank transfer,Female,No,No
C10189,51.0,22,82.26,1775.97,3,Month-to-month,DSL,Electronic check,Female,No,No
C10190,66.0,49,104.82,5822.93,4,Two year,DSL,Mailed check,Male,Yes,Yes
C10191,76.0,46,33.83,1499.37,7,One year,Fiber optic,Bank transfer,Male,No,Yes
C10192,53.0,44,92.93,4421.07,7,One year,No,Electronic check,Male,Yes,Yes
C10193,45.0,26,,991.84,2,Month-to-month,Fiber optic,Mailed check,Female,No,Yes
C10194,24.0,70,45.62,,7,One year,DSL,Mailed check,Female,Yes,No
C10195,66.0,6,90.41,513.29,5,Month-to-month,Fiber optic,Credit card,Female,Yes,Yes
C10196,74.0,25,,3085.05,0,One year,DSL,Electronic check,Male,No,No
C10197,61.0,8,80.38,676.39,7,Month-to-month,Fiber optic,Credit card,Female,No,Yes
C10198,,24,23.56,554.37,1,One year,No,Mailed check,Female,No,No
C10199,71.0,70,80.86,5199.42,4,Two year,Fiber optic,Bank transfer,Male,Yes,No
C10200,67.0,26,22.32,618.95,6,Month-to-month,Fiber optic,Bank transfer,Male,Yes,Yes
C10201,49.0,66,108.18,6430.62,1,Month-to-month,DSL,Mailed check,Male,No,Yes
C10202,24.0,36,90.38,3679.92,2,Month-to-month,Fiber optic,Credit card,Female,Yes,No
C10203,18.0,51,35.66,1648.38,3,Two year,No,Electronic check,Male,Yes,No
C10204,30.0,33,27.36,796.52,7,One year,Fiber optic,Electronic check,Female,No,No
C10205,44.0,19,36.72,697.19,1,Month-to-month,Fiber optic,Credit card,Male,Yes,Yes
C10206,64.0,55,117.96,6525.85,5,Month-to-month,Fiber optic,Bank transfer,Female,No,Yes
C10207,46.0,70,64.77,4545.04,3,Month-to-month,DSL,Credit card,Male,Yes,Yes
C10208,19.0,19,97.98,1826.25,0,Month-to-month,DSL,Mailed check,Female,No,Yes
C10209,31.0,56,82.91,5332.18,5,Two year,DSL,Electronic check,Male,No,No
C10210,78.0,19,76.39,1445.44,6,One year,Fiber optic,Electronic check,Female,No,No
C10211,79.0,52,32.8,1694.32,4,Month-to-month,No,Mailed check,Male,No,No
C10212,41.0,57,114.49,6372.77,1,Two year,Fiber optic,Electronic check,Female,Yes,No
C10213,67.0,32,48.74,1357.0,1,Month-to-month,DSL,Credit card,Female,No,Yes
C10214,62.0,53,,4192.63,3,Two year,DSL,Electronic check,Female,No,No
C10215,75.0,19,89.38,1559.63,4,Month-to-month,DSL,Credit card,Male,No,Yes
C10216,73.0,5,84.22,438.48,4,One year,No,Electronic check,Female,No,Yes
C10217,56.0,7,113.94,690.11,1,Two year,Fiber optic,Electronic check,Female,No,Yes
C10218,42.0,32,33.14,1213.63,4,Month-to-month,Fiber optic,Mailed check,Male,No,Yes
C10219,56.0,65,69.85,4498.03,2,One year,No,Electronic check,Female,No,No
C10220,37.0,9,59.21,596.32,5,Two year,DSL,Mailed check,Female,Yes,No
C10221,39.0,33,66.37,2174.15,6,Month-to-month,Fiber optic,Mailed check,Male,No,No
C10222,55.0,51,30.16,1335.28,5,Month-to-month,No,Bank transfer,Male,No,No
C10223,53.0,14,31.68,486.39,0,One year,Fiber optic,Bank transfer,Male,Yes,No
C10224,54.0,52,46.36,2517.89,7,Month-to-month,DSL,Electronic check,Male,No,Yes
C10225,41.0,22,49.08,1171.03,0,Month-to-month,No,Electronic check,Female,No,Yes
C10226,,59,61.65,3558.97,7,Month-to-month,No,Electronic check,Female,Yes,Yes
C10227,18.0,42,80.32,3513.04,0,One year,Fiber optic,Electronic check,Female,No,Yes
C10228,55.0,39,82.73,3571.28,4,Month-to-month,Fiber optic,Electronic check,Male,No,Yes
C10229,53.0,12,60.0,748.31,0,Month-to-month,DSL,Mailed check,Male,No,No
C10230,,33,59.7,1880.07,0,Two year,No,Bank transfer,Female,Yes,No
C10231,49.0,62,,2613.93,5,Month-to-month,Fiber optic,Mailed check,Male,No,Yes
C10232,46.0,1,78.01,82.03,5,Two year,DSL,Mailed check,Female,Yes,No
C10233,22.0,55,50.34,3151.27,0,Month-to-month,Fiber optic,Mailed check,Female,No,No
C10234,30.0,35,21.68,729.41,7,Two year,No,Bank transfer,Male,Yes,No
C10235,38.0,52,60.68,3084.44,2,One year,No,Mailed check,Male,No,No
C10236,41.0,48,66.36,3483.54,2,Month-to-month,DSL,Electronic check,Male,No,No
C10237,40.0,31,41.01,1273.51,2,Two year,DSL,Mailed check,Male,No,No
C10238,42.0,22,520.0,12251.92,3,Month-to-month,No,Electronic check,Male,No,Yes
C10239,65.0,45,75.71,3365.77,1,Month-to-month,No,Mailed check,Male,No,Yes
C10240,26.0,10,89.6,819.53,3,Month-to-month,Fiber optic,Credit card,Female,No,Yes
C10241,38.0,42,84.09,3791.58,1,One year,Fiber optic,Mailed check,Female,Yes,No
C10242,,6,84.55,451.17,0,Month-to-month,Fiber optic,Electronic check,Male,No,Yes
C10243,37.0,47,50.25,2148.19,2,Month-to-month,Fiber optic,Bank transfer,Female,No,Yes
C10244,60.0,45,98.32,4592.74,5,Month-to-month,,Electronic check,Female,No,No
C10245,20.0,6,74.01,477.0,6,Month-to-month,DSL,Electronic check,Female,No,Yes
C10246,39.0,55,62.0,3813.77,2,Month-to-month,DSL,Electronic check,Female,No,No
C10247,19.0,30,81.85,2287.98,2,Month-to-month,No,Credit card,Male,No,No
C10248,77.0,57,54.79,2758.31,6,Month-to-month,DSL,Credit card,Female,No,Yes
C10249,,3,70.3,239.75,5,Month-to-month,DSL,Bank transfer,Female,Yes,Yes
C10250,33.0,13,93.14,1085.29,6,One year,Fiber optic,Bank transfer,Male,No,Yes
C10251,30.0,36,108.41,3548.78,7,Month-to-month,DSL,Bank transfer,Female,No,Yes
C10252,24.0,13,111.95,1364.24,6,,DSL,Bank transfer,Female,No,Yes
C10253,47.0,24,69.37,1679.56,7,Month-to-month,Fiber optic,Bank transfer,Female,No,Yes
C10254,64.0,48,71.07,3803.15,3,Month-to-month,Fiber optic,Credit card,Male,Yes,Yes
C10255,54.0,10,99.59,1073.74,3,Month-to-month,Fiber optic,Bank transfer,Female,Yes,No
C10256,72.0,49,50.07,2606.64,2,Month-to-month,No,Electronic check,Male,No,No
C10257,39.0,7,103.41,653.33,1,Month-to-month,DSL,Mailed check,Female,Yes,No
C10258,35.0,12,68.4,785.76,5,Two year,No,Credit card,Male,Yes,No
C10259,47.0,42,,37972.39,5,Month-to-month,No,Mailed check,Female,Yes,Yes
C10260,30.0,57,25.35,1292.11,6,Month-to-month,No,Electronic check,Male,No,Yes
C10261,78.0,12,103.88,1161.83,1,One year,Fiber optic,Credit card,Female,No,No
C10262,29.0,21,23.67,468.49,3,Month-to-month,Fiber optic,Bank transfer,Male,Yes,Yes
C10263,,67,46.62,2774.27,1,Month-to-month,Fiber optic,Bank transfer,Female,Yes,Yes
C10264,50.0,72,52.08,3806.28,7,Month-to-month,Fiber optic,Mailed check,Female,Yes,Yes
C10265,21.0,42,35.65,1589.4,2,Month-to-month,DSL,Electronic check,Female,Yes,No
C10266,47.0,32,50.02,1394.12,1,Month-to-month,No,Mailed check,Female,No,Yes
C10267,46.0,25,93.75,2330.48,4,One year,Fiber optic,Mailed check,Female,No,No
C10268,34.0,44,19.5,930.64,7,Two year,Fiber optic,Credit card,Male,Yes,No
C10269,25.0,43,102.37,4729.4,7,Month-to-month,Fiber optic,Mailed check,Female,No,Yes
C10270,20.0,21,105.37,2421.93,0,One year,DSL,Electronic check,Female,Yes,No
C10271,18.0,1,55.97,,2,One year,,Mailed check,Male,Yes,No
C10272,47.0,11,33.67,405.99,1,Month-to-month,Fiber optic,Credit card,Female,No,Yes
C10273,23.0,69,79.29,5045.51,2,One year,Fiber optic,Mailed check,Female,No,No
C10274,77.0,30,30.21,868.46,4,One year,DSL,Mailed check,Female,No,Yes
C10275,33.0,35,55.22,1745.05,2,Two year,DSL,Bank transfer,Female,Yes,No
C10276,58.0,34,115.76,3897.45,0,Two year,Fiber optic,Bank transfer,Female,Yes,No
C10277,59.0,57,119.54,6593.14,4,Month-to-month,Fiber optic,Mailed check,Female,Yes,Yes
C10278,48.0,4,96.75,356.92,0,Month-to-month,No,Credit card,Female,No,Yes
C10279,72.0,6,49.72,320.85,1,Month-to-month,DSL,Bank transfer,Male,No,Yes
C10280,24.0,20,88.14,1664.35,0,Month-to-month,DSL,Electronic check,Female,Yes,Yes
C10281,32.0,35,89.95,2933.67,0,Month-to-month,DSL,Mailed check,Male,No,No
C10282,33.0,48,57.56,2456.94,3,Two year,Fiber optic,Credit card,Male,No,No
C10283,26.0,35,83.37,2864.4,6,Month-to-month,Fiber optic,Mailed check,Female,No,Yes
C10284,36.0,32,19.09,574.77,6,Month-to-month,Fiber optic,Bank transfer,Female,Yes,Yes
C10285,37.0,68,,2568.9,0,Two year,No,Bank transfer,Male,No,No
C10286,65.0,11,71.56,724.82,0,Month-to-month,DSL,Bank transfer,Male,Yes,No
C10287,36.0,41,34.7,1535.02,2,Month-to-month,Fiber optic,Credit card,Female,No,No
C10288,72.0,39,34.92,,5,,DSL,Electronic check,Male,No,No
C10289,65.0,34,103.3,3510.02,5,Month-to-month,,Bank transfer,Male,No,No
C10290,73.0,58,118.89,7191.44,6,Month-to-month,Fiber optic,Bank transfer,Female,No,Yes
C10291,,19,74.71,1575.85,2,Month-to-month,DSL,Electronic check,Female,No,No
C10292,79.0,69,103.59,8217.36,1,Two year,Fiber optic,Bank transfer,Male,No,No
C10293,56.0,24,119.01,2953.51,0,Month-to-month,Fiber optic,Electronic check,Female,No,No
C10294,78.0,39,450.0,19602.19,1,Month-to-month,Fiber optic,Mailed check,Male,No,Yes
C10295,40.0,38,63.72,2718.18,0,Month-to-month,Fiber optic,Mailed check,Female,Yes,No
C10296,77.0,62,58.04,3913.11,6,Month-to-month,Fiber optic,Electronic check,Male,No,Yes
C10297,54.0,32,26.17,827.62,2,Two year,Fiber optic,Credit card,Female,No,No
C10298,22.0,20,95.04,1661.96,6,Month-to-month,DSL,Electronic check,Female,No,Yes
C10299,43.0,1,62.25,53.21,4,Two year,DSL,Mailed check,Female,No,No
C10300,26.0,26,65.87,1700.91,4,Month-to-month,Fiber optic,Credit card,Female,No,No
C10301,76.0,60,33.37,1998.78,3,Month-to-month,No,Credit card,Male,Yes,Yes
C10302,36.0,0,36.45,35.44,6,Two year,DSL,Electronic check,Female,No,Yes
C10303,31.0,65,110.52,7330.71,0,Month-to-month,Fiber optic,Mailed check,Male,Yes,No
C10304,52.0,39,22.55,893.21,0,Month-to-month,Fiber optic,Bank transfer,Male,Yes,No
